stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
MetLife Stadium,2024-12-22,17.6,23.3,0.0,0.0,open-meteo-archive
New Era Field,2024-12-22,10.9,18.6,0.0,0.0433,open-meteo-archive
Paycor Stadium,2024-12-22,27.7,12.5,0.0,0.0,open-meteo-archive
Soldier Field,2024-12-22,22.2,21.7,0.0,0.0,open-meteo-archive
Lambeau Field,2024-12-23,31.0,22.8,0.0,0.0866,open-meteo-archive
Acrisure Stadium,2024-12-25,34.3,10.3,0.0,0.0,open-meteo-archive
Soldier Field,2024-12-26,39.7,17.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2024-12-28,34.6,13.6,0.087,0.0,open-meteo-archive
Paycor Stadium,2024-12-28,55.2,26.6,0.035,0.0,open-meteo-archive
FedExField,2024-12-29,57.6,44.5,0.067,0.0,open-meteo-archive
FirstEnergy Stadium,2024-12-29,47.2,23.7,1.13,0.0,open-meteo-archive
Lincoln Financial Field,2024-12-29,54.8,30.4,0.075,0.0,open-meteo-archive
MetLife Stadium,2024-12-29,46.5,26.4,0.106,0.0,open-meteo-archive
New Era Field,2024-12-29,48.6,40.9,0.335,0.0,open-meteo-archive
Raymond James Stadium,2024-12-29,70.7,27.1,0.335,0.0,open-meteo-archive
TIAA Bank Stadium,2024-12-29,68.7,21.0,0.055,0.0,open-meteo-archive
Levi's Stadium,2024-12-30,50.2,18.3,0.035,0.0,open-meteo-archive
Acrisure Stadium,2025-01-04,21.0,32.7,0.0,0.076,open-meteo-archive
M&T Bank Stadium,2025-01-04,28.6,40.7,0.0,0.011,open-meteo-archive
Empower Field at Mile High,2025-01-05,23.0,19.0,0.0,0.065,open-meteo-archive
Gillette Stadium,2025-01-05,28.0,38.5,0.0,0.0,open-meteo-archive
Lambeau Field,2025-01-05,11.1,26.8,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-01-05,26.9,29.5,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-01-05,28.3,29.5,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-01-05,38.7,27.5,0.551,0.076,open-meteo-archive
Raymond James Stadium,2025-01-05,55.7,17.0,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-01-11,27.8,25.9,0.0,0.3906,open-meteo-archive
Lincoln Financial Field,2025-01-12,29.9,19.9,0.0,0.0,open-meteo-archive
New Era Field,2025-01-12,29.9,23.3,0.0,0.0433,open-meteo-archive
Raymond James Stadium,2025-01-12,50.3,15.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-01-18,25.3,30.2,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-01-19,34.2,24.2,0.004,0.6402,open-meteo-archive
New Era Field,2025-01-19,22.1,19.2,0.0,0.1193,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-01-26,26.3,15.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-01-26,32.9,22.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-09-04,71.9,35.3,0.008,0.0,open-meteo-archive
Empower Field at Mile High,2025-09-07,72.7,24.8,0.004,0.0,open-meteo-archive
FedExField,2025-09-07,68.1,17.7,1.311,0.0,open-meteo-archive
FirstEnergy Stadium,2025-09-07,61.1,18.3,0.024,0.0,open-meteo-archive
Gillette Stadium,2025-09-07,62.9,25.7,1.177,0.0,open-meteo-archive
Lambeau Field,2025-09-07,53.0,19.7,0.0,0.0,open-meteo-archive
Lumen Field,2025-09-07,64.8,19.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-09-07,65.5,14.8,0.996,0.0,open-meteo-archive
New Era Field,2025-09-07,58.7,30.2,0.087,0.0,open-meteo-archive
TIAA Bank Stadium,2025-09-07,78.6,19.9,0.335,0.0,open-meteo-archive
Soldier Field,2025-09-08,59.9,15.2,0.0,0.0,open-meteo-archive
Lambeau Field,2025-09-11,64.4,16.3,0.004,0.0,open-meteo-archive
Acrisure Stadium,2025-09-14,71.0,16.3,0.004,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-09-14,84.4,25.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2025-09-14,77.9,12.5,0.051,0.0,open-meteo-archive
M&T Bank Stadium,2025-09-14,71.3,12.8,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-09-14,72.7,19.2,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-09-14,79.9,17.9,0.0,0.0,open-meteo-archive
Paycor Stadium,2025-09-14,75.8,18.8,0.035,0.0,open-meteo-archive
New Era Field,2025-09-18,67.0,23.3,0.0,0.0,open-meteo-archive
Bank of America Stadium,2025-09-21,75.0,17.4,0.0,0.0,open-meteo-archive
FedExField,2025-09-21,67.7,19.7,0.028,0.0,open-meteo-archive
FirstEnergy Stadium,2025-09-21,73.0,17.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-09-21,56.5,14.3,0.0,0.0,open-meteo-archive
Levi's Stadium,2025-09-21,68.6,23.5,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-09-21,65.4,17.0,0.0,0.0,open-meteo-archive
Lumen Field,2025-09-21,62.1,24.6,0.571,0.0,open-meteo-archive
MetLife Stadium,2025-09-21,63.7,15.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-09-21,79.5,22.6,0.394,0.0,open-meteo-archive
Raymond James Stadium,2025-09-21,82.0,19.5,0.004,0.0,open-meteo-archive
Soldier Field,2025-09-21,70.3,22.8,0.169,0.0,open-meteo-archive
TIAA Bank Stadium,2025-09-21,78.1,30.2,0.02,0.0,open-meteo-archive
M&T Bank Stadium,2025-09-22,66.7,15.0,0.0,0.0,open-meteo-archive
Acrisure Stadium,2025-09-28,67.3,10.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-09-28,74.1,13.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-09-28,68.9,17.7,0.031,0.0,open-meteo-archive
Levi's Stadium,2025-09-28,69.9,22.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-09-28,71.6,12.5,0.043,0.0,open-meteo-archive
New Era Field,2025-09-28,67.7,17.9,0.0,0.0,open-meteo-archive
Raymond James Stadium,2025-09-28,81.3,25.9,0.059,0.0,open-meteo-archive
Empower Field at Mile High,2025-09-29,63.9,30.4,0.035,0.0,open-meteo-archive
Hard Rock Stadium,2025-09-29,79.1,25.9,0.161,0.0,open-meteo-archive
Bank of America Stadium,2025-10-05,68.4,19.9,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2025-10-05,71.8,13.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-10-05,68.5,15.9,0.0,0.0,open-meteo-archive
Lumen Field,2025-10-05,55.8,22.8,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-10-05,64.8,15.2,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-10-05,70.8,15.7,0.0,0.0,open-meteo-archive
New Era Field,2025-10-05,70.4,16.8,0.0,0.0,open-meteo-archive
Paycor Stadium,2025-10-05,70.7,20.1,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2025-10-06,77.4,29.1,0.378,0.0,open-meteo-archive
MetLife Stadium,2025-10-09,55.2,23.9,0.0,0.0,open-meteo-archive
Acrisure Stadium,2025-10-12,58.1,24.2,0.039,0.0,open-meteo-archive
Bank of America Stadium,2025-10-12,63.6,37.8,0.067,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-10-12,68.5,27.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2025-10-12,74.9,15.0,0.106,0.0,open-meteo-archive
Lambeau Field,2025-10-12,55.2,24.8,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-10-12,62.8,31.5,0.059,0.0,open-meteo-archive
MetLife Stadium,2025-10-12,59.6,32.2,0.335,0.0,open-meteo-archive
Raymond James Stadium,2025-10-12,72.4,21.9,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2025-10-12,68.0,24.4,0.008,0.0,open-meteo-archive
FedExField,2025-10-13,59.2,28.2,0.094,0.0,open-meteo-archive
Paycor Stadium,2025-10-16,58.6,16.3,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2025-10-19,48.7,13.2,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2025-10-19,66.0,30.9,0.449,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-10-19,55.9,30.9,0.024,0.0,open-meteo-archive
Levi's Stadium,2025-10-19,64.9,17.7,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-10-19,59.1,30.0,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-10-19,66.8,39.8,1.106,0.0,open-meteo-archive
Soldier Field,2025-10-19,56.5,36.5,1.039,0.0,open-meteo-archive
TIAA Bank Stadium,2025-10-19,71.7,32.7,0.346,0.0,open-meteo-archive
Lumen Field,2025-10-20,51.9,28.9,0.024,0.0,open-meteo-archive
Acrisure Stadium,2025-10-26,45.6,16.8,0.0,0.0,open-meteo-archive
Bank of America Stadium,2025-10-26,53.2,20.4,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2025-10-26,55.0,19.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-10-26,47.5,22.1,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-10-26,54.2,14.1,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-10-26,51.5,11.0,0.0,0.0,open-meteo-archive
Paycor Stadium,2025-10-26,50.4,21.5,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-10-27,53.1,18.3,0.047,0.0,open-meteo-archive
Hard Rock Stadium,2025-10-30,72.8,27.5,0.004,0.0,open-meteo-archive
Acrisure Stadium,2025-11-02,46.4,11.4,0.0,0.0,open-meteo-archive
FedExField,2025-11-02,51.1,13.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-11-02,42.8,23.3,0.0,0.0,open-meteo-archive
Lambeau Field,2025-11-02,38.5,32.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-11-02,47.7,13.9,0.0,0.0,open-meteo-archive
New Era Field,2025-11-02,44.2,10.1,0.016,0.0,open-meteo-archive
Nissan Stadium,2025-11-02,46.5,24.4,0.398,0.0,open-meteo-archive
Paycor Stadium,2025-11-02,46.2,9.4,0.059,0.0,open-meteo-archive
Empower Field at Mile High,2025-11-06,51.5,33.8,0.0,0.0,open-meteo-archive
Bank of America Stadium,2025-11-09,65.1,28.2,0.146,0.0,open-meteo-archive
FedExField,2025-11-09,58.4,19.7,0.122,0.0,open-meteo-archive
Hard Rock Stadium,2025-11-09,77.7,14.1,0.063,0.0,open-meteo-archive
Levi's Stadium,2025-11-09,63.1,11.6,0.0,0.0,open-meteo-archive
Lumen Field,2025-11-09,50.9,12.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-11-09,53.9,22.6,0.008,0.0,open-meteo-archive
Raymond James Stadium,2025-11-09,74.5,22.8,0.024,0.0,open-meteo-archive
Soldier Field,2025-11-09,36.6,37.4,0.555,0.3579,open-meteo-archive
Lambeau Field,2025-11-10,27.8,28.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-11-13,41.9,25.1,0.016,0.0,open-meteo-archive
Acrisure Stadium,2025-11-16,48.8,41.2,0.102,0.0,open-meteo-archive
Empower Field at Mile High,2025-11-16,52.5,12.3,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2025-11-16,46.9,33.1,0.071,0.0,open-meteo-archive
Hard Rock Stadium,2025-11-16,69.4,15.2,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-11-16,55.2,40.3,0.48,0.0,open-meteo-archive
MetLife Stadium,2025-11-16,49.8,39.6,0.177,0.0,open-meteo-archive
New Era Field,2025-11-16,43.1,42.5,0.339,0.0217,open-meteo-archive
Nissan Stadium,2025-11-16,63.7,23.5,0.031,0.0,open-meteo-archive
TIAA Bank Stadium,2025-11-16,65.5,27.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-11-23,49.0,15.9,0.0,0.0,open-meteo-archive
Lambeau Field,2025-11-23,39.4,22.1,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-11-23,44.8,20.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-11-23,54.6,14.5,0.0,0.0,open-meteo-archive
Paycor Stadium,2025-11-23,45.8,14.5,0.0,0.0,open-meteo-archive
Soldier Field,2025-11-23,45.3,25.5,0.0,0.0,open-meteo-archive
Levi's Stadium,2025-11-24,51.3,13.4,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2025-11-27,43.4,30.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-11-28,36.3,38.0,0.0,0.0,open-meteo-archive
Acrisure Stadium,2025-11-30,37.2,38.5,0.039,0.0327,open-meteo-archive
Bank of America Stadium,2025-11-30,40.2,12.8,0.094,0.0,open-meteo-archive
FedExField,2025-11-30,36.1,23.5,0.11,0.0543,open-meteo-archive
FirstEnergy Stadium,2025-11-30,35.9,35.3,0.118,0.3906,open-meteo-archive
Hard Rock Stadium,2025-11-30,72.7,21.5,0.11,0.0,open-meteo-archive
Lumen Field,2025-11-30,40.4,12.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-11-30,35.8,17.0,0.11,0.0,open-meteo-archive
Nissan Stadium,2025-11-30,43.3,29.1,0.185,0.0433,open-meteo-archive
Raymond James Stadium,2025-11-30,70.2,22.6,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-12-01,39.8,30.4,0.138,0.0,open-meteo-archive
FirstEnergy Stadium,2025-12-07,33.0,20.8,0.004,0.228,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-12-07,34.5,25.3,0.004,0.0,open-meteo-archive
Lambeau Field,2025-12-07,14.7,17.7,0.0,0.0976,open-meteo-archive
M&T Bank Stadium,2025-12-07,34.6,11.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-12-07,34.5,17.9,0.0,0.0,open-meteo-archive
New Era Field,2025-12-07,30.3,25.7,0.0,0.5209,open-meteo-archive
Raymond James Stadium,2025-12-07,68.4,21.9,0.921,0.0,open-meteo-archive
TIAA Bank Stadium,2025-12-07,56.8,18.1,1.102,0.0,open-meteo-archive
Raymond James Stadium,2025-12-11,59.9,19.7,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2025-12-14,38.1,9.8,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-12-14,14.5,21.9,0.0,0.0,open-meteo-archive
Gillette Stadium,2025-12-14,30.7,29.1,0.0,0.6512,open-meteo-archive
Levi's Stadium,2025-12-14,45.9,11.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2025-12-14,30.0,27.5,0.039,1.1827,open-meteo-archive
Lumen Field,2025-12-14,50.0,19.5,0.098,0.0,open-meteo-archive
MetLife Stadium,2025-12-14,29.7,25.3,0.0,1.2803,open-meteo-archive
Paycor Stadium,2025-12-14,8.8,22.4,0.0,0.3362,open-meteo-archive
Soldier Field,2025-12-14,3.5,27.7,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2025-12-14,61.6,27.3,0.0,0.0,open-meteo-archive
Acrisure Stadium,2025-12-15,11.4,23.5,0.0,0.011,open-meteo-archive
Lumen Field,2025-12-18,45.9,33.8,0.343,0.0,open-meteo-archive
FedExField,2025-12-20,34.6,36.0,0.0,0.0,open-meteo-archive
Soldier Field,2025-12-20,30.8,32.9,0.0,0.0,open-meteo-archive
Bank of America Stadium,2025-12-21,45.7,20.6,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2025-12-21,39.8,11.4,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2025-12-21,32.7,32.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2025-12-21,71.9,14.8,0.051,0.0,open-meteo-archive
M&T Bank Stadium,2025-12-21,40.0,30.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-12-21,36.5,32.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2025-12-21,48.2,18.8,0.0,0.0,open-meteo-archive
FedExField,2025-12-25,42.8,19.2,0.008,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2025-12-25,52.7,16.6,0.0,0.0,open-meteo-archive
Lambeau Field,2025-12-27,34.5,17.7,0.0,0.0,open-meteo-archive
Bank of America Stadium,2025-12-28,49.2,18.8,0.055,0.0,open-meteo-archive
FirstEnergy Stadium,2025-12-28,39.7,24.8,0.366,0.0,open-meteo-archive
Hard Rock Stadium,2025-12-28,68.0,9.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2025-12-28,45.1,14.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2025-12-28,19.8,11.0,0.0,0.0,open-meteo-archive
New Era Field,2025-12-28,32.7,19.0,0.508,0.0,open-meteo-archive
Nissan Stadium,2025-12-28,67.5,40.7,0.028,0.0,open-meteo-archive
Paycor Stadium,2025-12-28,57.3,33.6,0.047,0.0,open-meteo-archive
Levi's Stadium,2026-01-03,58.7,30.9,0.213,0.0,open-meteo-archive
Raymond James Stadium,2026-01-03,65.1,32.9,0.15,0.0,open-meteo-archive
Acrisure Stadium,2026-01-04,24.1,17.4,0.0,0.065,open-meteo-archive
Empower Field at Mile High,2026-01-04,47.8,24.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2026-01-04,24.8,17.9,0.0,0.0866,open-meteo-archive
Lincoln Financial Field,2026-01-04,30.3,19.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2026-01-04,28.1,19.2,0.0,0.0327,open-meteo-archive
New Era Field,2026-01-04,25.0,26.2,0.0,0.2602,open-meteo-archive
Paycor Stadium,2026-01-04,28.8,8.7,0.0,0.0,open-meteo-archive
Soldier Field,2026-01-04,25.3,13.4,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2026-01-04,56.9,21.0,0.217,0.0,open-meteo-archive
Bank of America Stadium,2026-01-10,64.8,38.0,0.362,0.0,open-meteo-archive
Soldier Field,2026-01-10,36.9,29.5,0.165,0.228,open-meteo-archive
Gillette Stadium,2026-01-11,38.2,21.7,0.461,0.0,open-meteo-archive
Lincoln Financial Field,2026-01-11,43.6,34.4,0.248,0.0,open-meteo-archive
TIAA Bank Stadium,2026-01-11,63.8,25.3,0.016,0.0,open-meteo-archive
Acrisure Stadium,2026-01-12,30.2,32.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2026-01-17,26.5,21.7,0.0,0.0217,open-meteo-archive
Lumen Field,2026-01-17,41.6,17.2,0.0,0.0,open-meteo-archive
Gillette Stadium,2026-01-18,30.5,19.2,0.008,0.4122,open-meteo-archive
Soldier Field,2026-01-18,13.2,25.5,0.0,0.0543,open-meteo-archive
Empower Field at Mile High,2026-01-25,11.1,27.7,0.0,0.0327,open-meteo-archive
Lumen Field,2026-01-25,34.1,8.5,0.0,0.0,open-meteo-archive
Levi's Stadium,2026-02-08,53.5,17.2,0.0,0.0,open-meteo-archive
Lumen Field,2026-09-09,64.4,22.1,0.0,0.0,open-meteo-archive
Acrisure Stadium,2026-09-13,72.8,26.6,0.598,0.0,open-meteo-archive
Bank of America Stadium,2026-09-13,79.4,14.3,0.181,0.0,open-meteo-archive
Lincoln Financial Field,2026-09-13,74.2,14.8,0.543,0.0,open-meteo-archive
MetLife Stadium,2026-09-13,72.1,16.6,1.783,0.0,open-meteo-archive
Nissan Stadium,2026-09-13,79.8,7.6,0.0,0.0,open-meteo-archive
Paycor Stadium,2026-09-13,75.7,28.4,0.031,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2026-09-14,74.7,34.0,0.0,0.0,open-meteo-archive
